kanji;niveau;traits;JLPT;radical;on;on translation;kun;kun_translation
給;S2;12;3;Ito, Itohen;kyuu;wage;-;-
以;S2;5;4;Hito, Ninben, Hitoyane;i;with, by, by means of;-;-
力;S2;2;4;Chikara;ryoku, riki;strain, bear up, exert one's strength;chikara;strength, energy, force, might, power
働;S2;13;3;Hito, Ninben, Hitoyane;doo;work, labor;hatara(ku);work, labor
覚;S2;12;3;Miru;kaku;remember, memorize;obo(eru), sa(masu), sa(meru);remember, memorize
欠;S2;4;3;Akubi;ketsu;lack, gap;ka(keru), ka(ku);lack
席;S2;10;3;Haba, Kinben;seki;seat;-;-
容;S2;10;3;Ukanmuri;yoo;form;-;-
知;S2;8;4;Ya, Yahen;chi;know, acquaintance, sense;shi(ru);know
失;S2;5;3;Dai;shitsu;error;ushina(u);lose, miss (a chance)
礼;S2;5;3;Shimesu, Shimesuhen;rei, rai;salutation, salute, bow, courtesy, propriety, ceremony;-;-
平;S2;5;3;Ichijuu;hei, byoo;level, peaceful;tai(ra), hira;flat, smooth
回;S2;6;3;Kunigamae;kai, [e];time;mawa(ru), mawa(su);and, turn, go around
習;S2;11;4;Hane;shuu;learn, be taught, take lessons, practice;nara(u);learn, be taught, take lessons, practice
雪;S2;11;3;Ame, Amekanmuri;setsu;snow, snowfall;yuki;snow, snowfall
量;S2;12;2;Sato, Satohen;ryoo;quantity, amount, volume;haka(ru);measure, gauge, weigh
冊;S2;5;2;Doogamae;satsu, saku;volume, book, letter;-;-
弾;S2;12;1;Yumi, Yumihen;dan;bullet;hi(ku), hazu(mu), tama;play on. spring, bound, rebound
飼;S2;13;1;Shoku, Shokuhen;shi;raising (animals);ka(u);raise, keep, feed
関;S2;14;3;Mongamae;kan;barrier, gateway;seki, kaka(waru);concern oneself in, have to do with
残;S2;10;3;Kabanehen;zan;remainder;noko(ru), noko(su);remain, be left over
念;S2;8;3;Kokoro, Risshinben, Shitagokoro;nen;sense, idea, thought;-;-
用;S2;5;4;Mochiiru;yoo;business, work;mochi(iru);use, adopt (a method), employ
枚;S2;8;2;Ki, Kihen;mai;counter for thin flat things, page, leaf (of a book), sheet;-;-
送;S2;9;4;Shinnyoo;soo;sending;oku(ru);send, ship
込;S2;5;3;Shinnyoo;-;-;ko(mu), ko(meru);be crowded
歌;S2;14;4;Akubi;ka;sing, recite, chant, carol;uta, uta(u);sing, recite, chant, carol
近;S2;7;4;Shinnyoo;kin;early, immediate;chika(i);early, immediate
遠;S2;13;3;Shinnyoo;en, [on];far, distant, remote;too(i);far, distant, remote
全;S2;6;3;Hito, Ninben, Hitoyane;zen;all;matta(ku), sube(te);entirely, completely, wholly, perfectly
迎;S2;7;3;Shinnyoo;gei;meet, greet, welcome;muka(eru);meet, greet, welcome
誘;S2;14;1;Gon, Gonben;yuu;invite, ask;saso(u);invite, ask
客;S2;9;3;Ukanmuri;kyaku, kaku;visitor;-;-
様;S2;14;3;Ki, Kihen;yoo;way, manner, method;sama;situation, circumstances, condition. Mr., Mrs., Messrs., Mme., Miss, Master 
弱;S2;10;2;Yumi, Yumihen;jaku;weakness;yowa(i), yowa(ru), yowa(maru), yowa(meru);weaken, be emaciated
研;S2;9;4;Ishi, Ishihen;ken;sharpen, grind, scour, hone, polish;to(gu);sharpen, grind, scour, hone, polish
究;S2;7;4;Ana, Anakanmuri;kyuu;investigate thoroly, master;kiwa(meru);investigate thoroly, master
袋;S2;11;2;Koromo, Koromohen;tai;bag;fukuro;bag, sack, pouch
場;S2;12;4;Tsuchi, Tsuchihen;joo;place, grounds, links, range, course, track, ring;ba;place, site
曲;S2;6;3;Hirabi;kyoku;music, tone, melody, composition;ma(garu), ma(geru);bend, curve, swerve
側;S2;11;3;Hito, Ninben, Hitoyane;soku;lean to one side, oppose, look aside, regret;gawa;a side
汚;S2;6;2;Mizu, Sanzui, Shitamizu;o;make dirty, stain, pollute, defile, contaminate;kega(su), kega(reru), kega(rawashii), yogo(su), yogo(reru), kitana(i);make dirty, stain, pollute, defile, contaminate
試;S2;13;4;Gon, Gonben;shi;testing;kokoro(miru), tame(su);try, attempt. experiment, test, sample 
験;S2;18;4;Uma, Umahen;ken, [gen];effect;-;-
進;S2;11;3;Shinnyoo;shin;advancing;susu(mu), susu(meru);advance, proceed, progress
信;S2;9;3;Hito, Ninben, Hitoyane;shin;truth;-;-
迷;S2;9;3;Shinnyoo;mei;be perplexed, be in doubt, hesitate, vacillate, go astray, err;mayo(u);be perplexed, be in doubt, hesitate, vacillate, go astray, err
菜;S2;11;2;Kusakanmuri;sai;side dish;na;greens
続;S2;13;3;Ito, Itohen;zoku;continuation, second series;tsuzu(ku), tsuzu(keru);continue
辛;S2;7;2;Karai;shin;H, eighth;kara(i);hot, acrid, sharp
通;S2;10;4;Shinnyoo;tsuu, [tsu];pass;too(ru), too(su), kayo(u);walk along, pass by
必;S2;5;3;Kokoro, Risshinben, Shitagokoro;hitsu;certainly;kanara(zu);certainly, positively, invariably
練;S2;14;2;Ito, Itohen;ren;gloss, soften;ne(ru);gloss, soften
世;S2;5;4;Ichi;sei, se;generation;yo;world, society, public
玄;S2;5;1;Gen;gen;occultness, mystery, black;-;-
伝;S2;6;3;Hito, Ninben, Hitoyane;den;legend, tradition;tsuta(waru), tsuta(eru), tsuta(u);go along, walk along, follow.
無;S2;12;2;Hi, Hihen, Renga;mu, bu;nothing, nil, negation;na(i);if there were none
湯;S2;12;2;Mizu, Sanzui, Shitamizu;too;hot water;yu;hot water, hot bath, hot spring
洗;S2;9;3;Mizu, Sanzui, Shitamizu;sen;wash;ara(u);wash, inquire into, probe
片;S2;4;2;Katahen;hen;leaf, sheet, petal, flake;kata;one (eye, etc.)
顔;S2;18;3;Oogai;gan;face, countenance;kao;face, countenance, expression
代;S2;5;4;Hito, Ninben, Hitoyane;dai, tai;period, age, generation;ka(waru), ka(eru), yo, shiro;world, society, public
払;S2;5;3;Tehen;futsu;clear out, sweep away, wipe off, brush off, drive away, banish;hara(u);clear out, sweep away, wipe off, brush off, drive away, banish
苦;S2;8;3;Kusakanmuri;ku;suffering, trial, worry, trouble, hardship, difficulty, toil;kuru(shii), kuru(shimu), kuru(shimeru), niga(i), niga(ru);suffer
意;S2;13;4;Kokoro, Risshinben, Shitagokoro;i;mind, heart;-;-
味;S2;8;4;Kuchi, Kuchihen;mi;taste, flavor, dash;aji, aji(wau);taste
泊;S2;8;2;Mizu, Sanzui, Shitamizu;haku;(three-day) stay;to(maru), to(meru);stay at, put up at
風;S2;9;4;Kaze;fuu, [fu];wind;kaze, [kaza];wind, storm, breeze, draft, current of air
呂;S2;7;1;Kuchi, Kuchihen;ro;backbone;-;-
脱;S2;11;1;Niku, Nikuzuki;datsu;removing;nu(gu), nu(geru);take off (clothes)
庭;S2;10;3;Madare;tei;yard, courtyard, garden;niwa;yard, courtyard, garden
涼;S2;11;2;Mizu, Sanzui, Shitamizu;ryoo;cool;suzu(shii), suzu(mu);cool oneself, enjoy the evening air. cool, refreshing
暖;S2;13;1;Nichi, Nichihen;dan;warmth;atata(ka), atata(kai), atata(maru), atata(meru);warm, heat. warm oneself, sun oneself, get warm. mild, genial, cordial 
重;S2;9;4;Sato, Satohen;juu, choo;nest of boxes;e, omo(i), kasa(neru), kasa(naru);pile up, heap up, add, repeat. be piled
空;S2;8;4;Ana, Anakanmuri;kuu;air, sky;sora, a(ku), a(keru), kara;become empty, be less crowded
眠;S2;10;3;Me, Mehen;min;sleep;nemu(ru), nemu(i);sleep, die. sleepy, drowsy, lethargic
具;S2;8;3;Hachi;gu;tool;-;-
増;S2;14;3;Tsuchi, Tsuchihen;zoo;increase;ma(su), fu(eru), fu(yasu);increase, add to, augment, gain
革;S2;9;2;Kakunokawa, Kawahen;kaku;tanned leather;kawa;skin
毛;S2;4;2;Ke;moo;hair, tenth of a rin;ke;hair, fur, feather, down
引;S2;4;3;Yumi, Yumihen;in;draw, pull, haul, tug, jerk, drag, trail, bend, attract;hi(ku), hi(keru);draw, pull, haul, tug, jerk, drag, trail, bend, attract
押;S2;8;3;Tehen;oo;push, shove;o(su), o(saeru);push, shove
折;S2;7;3;Tehen;setsu;break, snap, fracture, knock out (teeth);o(ru), ori, o(reru);break, snap, fracture, knock out (teeth)
界;S2;9;4;Ta, Tahen;kai;circle, world, boundary, limits;-;-
数;S2;13;3;Nobun;suu, [su];strength;kazu, kazo(eru);number, figure. count, calculate, enumerate
景;S2;12;3;Nichi, Nichihen;kei;view, scene;-;-
最;S2;12;3;Hirabi;sai;most;motto(mo);most
正;S2;5;4;Tomeru;sei, shoo;right, righteousness, justice;tada(shii), tada(su), masa;correct
並;S2;8;2;Ni;hei;line up, be in a row;nami, mara(beru), nara(bu), nara(bini);line up, be in a row
値;S2;10;3;Hito, Ninben, Hitoyane;chi;price, cost, value;ne, atai;price, cost, value
段;S2;9;3;Rumata;dan;steps, stair, flight of stairs;-;-
的;S2;8;4;Shiro;teki;mark, target;mato;mark, target
減;S2;12;2;Mizu, Sanzui, Shitamizu;gen;decrease, decline;he(ru), he(rasu);decrease, dwindle, subside
街;S2;12;1;Gyoogamae;gai, [kai];street, avenue;machi;town
昔;S2;8;3;Nichi, Nichihen;seki, [shaku];antiquity, old times;mukashi;antiquity, old times
優;S2;17;3;Hito, Ninben, Hitoyane;yuu;actor;yasa(shii), sugu(reru);excel, surpass
然;Vacances d'été;12;3;Hi, Hihen, Renga;zen, nen;to decree;-;-
森;Vacances d'été;12;2;Ki, Kihen;shin;woods, grove;mori;woods, grove
林;Vacances d'été;8;2;Ki, Kihen;rin;forest;hayashi;forest
竹;Vacances d'été;6;2;Take, Takekanmuri;chiku;bamboo;take;bamboo
石;Vacances d'été;5;3;Ishi, Ishihen;seki, [shaku], [koku];stone, pebble, rock;ishi;stone, pebble, rock
岩;Vacances d'été;8;2;Yama, Yamahen;gan;rock, crag;iwa;rock, crag
畑;Vacances d'été;9;0;Ta, Tahen;-;-;hata, hatake;field, farm, plantation, garden
池;Vacances d'été;6;2;Mizu, Sanzui, Shitamizu;chi;pond, pool, cistern, basin, reservoir;ike;pond, pool, cistern, basin, reservoir
星;Vacances d'été;9;2;Nichi, Nichihen;sei, [shoo];star;hoshi;star
光;Vacances d'été;6;3;Hitoashi;koo;light;hika(ru), hikari;shine, glitter, sparkle, twinkle, flash. light, beam, glare
雲;Vacances d'été;12;2;Ame, Amekanmuri;un;cloud;kumo;cloud
島;Vacances d'été;10;2;Yama, Yamahen;too;island;shima;island
鳥;Vacances d'été;11;4;Tori;choo;bird;tori;bird, chicken, fowl
虫;Vacances d'été;6;2;Mushi, Mushihen;chuu;worm, vermin, bug, insect;mushi;worm, vermin, bug, insect
羽;Vacances d'été;6;2;Hane;u;feather;ha, hane;feather
匹;Vacances d'été;4;2;Kakushigamae;hitsu;head, counter (small animals);hiki;head, counter (small animals)
植;Vacances d'été;12;2;Ki, Kihen;shoku;planting;u(eru), u(waru);plant, set out, raise, sow
草;Vacances d'été;9;3;Kusakanmuri;soo;grass;kusa;grass
糸;Vacances d'été;6;2;Ito, Itohen;shi;thread;ito;thread, yarn
原;Vacances d'été;10;3;Gandare;gen;original, primitive;hara;field, plain, prairie, tundra, moor, wilderness
桜;Vacances d'été;10;1;Ki, Kihen;oo;flowering cherry;sakura;flowering cherry
咲;Vacances d'été;9;2;Kuchi, Kuchihen;-;-;sa(ku);bloom, blossom
鳴;Vacances d'été;14;3;Tori;mei;(animals and birds) cry, bark, chirp, etc, ;na(ku), na(ru), na(rasu);(animals and birds) cry, bark, chirp, etc. sound, ring, roar
品;Vacances d'été;9;4;Kuchi, Kuchihen;hin;refinement, dignity;shina;article, goods, thing
米;Vacances d'été;6;3;Kome, Komehen;bei, mai;rice, U.S.A.;kome;rice
豆;Vacances d'été;7;1;Mame;too, [zu];beans, peas, pulse;mame;beans, peas, pulse
麦;Vacances d'été;7;2;Mugi;baku;wheat, barley, oats, rye;mugi;wheat, barley, oats, rye
粉;Vacances d'été;10;2;Kome, Komehen;fun;dust, powder;ko;kona
油;Vacances d'été;8;2;Mizu, Sanzui, Shitamizu;yu;oil;abura;oil
乳;Vacances d'été;8;2;Otsu, Otsunyoo;nyuu;milk;chichi, chi;milk
卵;Vacances d'été;7;2;Fushizukuri, Warifu;ran;ovum;tamago;egg, spawn, roe
塩;Vacances d'été;13;2;Tsuchi, Tsuchihen;en;salt;shio;salt, seasoning
砂;Vacances d'été;9;2;Ishi, Ishihen;sa, sha;sand;suna;sand
糖;Vacances d'été;16;1;Kome, Komehen;too;sugar;-;-
飯;Vacances d'été;12;4;Shoku, Shokuhen;han;cooked rice;meshi;cooked rice
体;Vacances d'été;7;4;Hito, Ninben, Hitoyane;tai, tei;the body;karada;body, health
足;Vacances d'été;7;4;Ashi, Ashihen;soku;foot;ashi, ta(riru), ta(ru), ta(su);foot
歯;Vacances d'été;12;3;Ha, Hahen;shi;tooth;ha;tooth, cog, dent
鼻;Vacances d'été;14;2;Hana;bi;nasal;hana;nose
指;Vacances d'été;9;3;Tehen;shi;finger;yubi, sa(su);point to, indicate
腕;Vacances d'été;12;2;Niku, Nikuzuki;wan;arm;ude;arm
肩;Vacances d'été;8;2;Niku, Nikuzuki;ken;shoulder;kata;shoulder
髪;Vacances d'été;14;3;Kamigashira;hatsu;the hair;kami;the hair
腹;Vacances d'été;13;3;Niku, Nikuzuki;fuku;belly, stomach ;hara;abdomen, belly, bowels, stomach
息;Vacances d'été;10;3;Kokoro, Risshinben, Shitagokoro;soku;son;iki;breath, respiration
死;Vacances d'été;6;4;Kabanehen;shi;death;shi(nu);die
夫;Vacances d'été;4;3;Dai;fu, [fuu];husband;otto;husband, spouse
主;Vacances d'été;5;4;Ten;shu, [su];Lord;nushi, omo;owner
妻;Vacances d'été;8;3;Onna, Onnahen;sai;(my) wife;tsuma;wife, spouse
奥;Vacances d'été;12;2;Dai;oo;heart, interior;oku;heart, interior
祖;Vacances d'été;9;3;Shimesu, Shimesuhen;so;ancestor, founder, originator, pioneer;-;-
娘;Vacances d'été;10;3;Onna, Onnahen;-;-;musume;daughter, girl, young woman
門;Vacances d'été;8;2;Mongamae;mon;gate, gateway;kado;gate, door
窓;Vacances d'été;11;3;Ana, Anakanmuri;soo;window;mado;window
戸;Vacances d'été;4;2;To, Tokanmuri;ko;house;to;door
机;Vacances d'été;6;2;Ki, Kihen;ki;desk, table;tsukue;desk, table
棚;Vacances d'été;12;1;Ki, Kihen;-;-;tana;shelf, ledge, rack, mount, mantelpiece
傘;Vacances d'été;12;1;Hito, Ninben, Hitoyane;san;umbrella, parasol;kasa;umbrella, parasol
財;Vacances d'été;10;3;Kai, Kaihen;zai, [sai];money, wealth, assets;-;-
布;Vacances d'été;5;2;Haba, Kinben;fu;cloth;nuno;cloth
帽;Vacances d'été;12;2;Haba, Kinben;boo;cap, headgear;-;-
弁;Vacances d'été;5;1;Komanuki, Nijuuashi;ben;braid. petal, valve. discrimination. speech, dialect;-;-
雑;Vacances d'été;14;3;Furutori;zatsu, zoo;miscellany;-;-
誌;Vacances d'été;14;2;Gon, Gonben;shi;records;-;-
辞;Vacances d'été;13;3;Karai;ji;word, term, expression;ya(meru);resign
帳;Vacances d'été;11;1;Haba, Kinben;choo;notebook;-;-
谷;Vacances d'été;7;2;Tani;koku;valley, dale, ravine;tani;valley, dale, ravine
招;S3;8;3;Tehen;shoo;beckon to, invite, summon;mane(ku);beckon to, invite, summon
券;S3;8;2;Katana, Rittoo;ken;ticket, coupon, bond, certificate;-;-
美;S3;9;3;Hitsuji;bi;beauty, grace, charm;utsuku(shii);beautiful, lovely, fine, good-looking
術;S3;11;3;Gyoogamae;jutsu;art, technique, skill;-;-
博;S3;12;1;Juu;haku, [baku];command esteem, win acclaim;-;-
散;S3;12;3;Nobun;san;scatter, disperse;chi(ru), chi(rasu), chi(rakasu), chi(rakaru);fall, scatter, be scattered, be shed
約;S3;9;3;Ito, Itohen;yaku;promise, vow;-;-
束;S3;7;3;Ki, Kihen;soku;bundle, sheaf, ream (of paper);taba;bundle, bunch, sheaf, coil
忘;S3;7;3;Kokoro, Risshinben, Shitagokoro;boo;forget;wasu(reru);forget
相;S3;9;3;Me, Mehen;soo, shoo;aspect, phase, physiognomy. minister of state, councilor;ai;together, each other
僕;S3;14;1;Hito, Ninben, Hitoyane;boku;manservant, I (used by male speakers) ;-;-
君;S3;7;3;Kuchi, Kuchihen;kun;mister (familiar);kimi;you (familiar)
武;S3;8;2;Tomeru;bu, mu;military affairs, military arts, chivalry, military glory, military power, arms;-;-
良;S3;7;3;Kon;ryoo;good, fine;yo(i);good, good-natured
彼;S3;8;3;Gyooninben;hi;he;kare, [kano];he. that, the 
菓;S3;11;2;Kusakanmuri;ka;cakes;-;-
放;S3;8;3;Nobun;hoo;set free, release, fire, shoot;hana(su), hana(tsu), hana(reru), hoo(ru);set free, release, fire, shoot
課;S3;15;2;Gon, Gonben;ka;lesson;-;-
割;S3;12;3;Katana, Rittoo;katsu;divide, cut, halve;wa(ru), wari, wa(reru), sa(ku);divide, break, rate, percentage
倒;S3;10;3;Hito, Ninben, Hitoyane;too;fall, collapse, drop;tao(reru), tao(su);fall, collapse, drop
壊;S3;16;1;Tsuchi, Tsuchihen;kai;break;kowa(su), kowa(reru);break
消;S3;10;3;Mizu, Sanzui, Shitamizu;shoo;extinguish, blow out;ki(eru), ke(su);extinguish, blow out
流;S3;10;3;Mizu, Sanzui, Shitamizu;ryuu, [ru];current;naga(reru), naga(su);flow, trickle, ooze, drain, run down
器;S3;15;1;Kuchi, Kuchihen;ki;container;utsuwa;vessel, receptacle, utensil, implement, instrument
面;S3;9;3;Men;men;face features;omo, omote, tsura;face, honor, reputation. surface
堂;S3;11;4;Tsuchi, Tsuchihen;doo;temple;-;-
確;S3;15;3;Ishi, Ishihen;kaku;firm, tight, hard, solid;tashi(ka), tashi(kameru);ascertain, confirm, verify
認;S3;14;3;Gon, Gonben;nin;witness;mito(meru);witness
簡;S3;18;2;Take, Takekanmuri;kan;brevity, simplicity;-;-
単;S3;9;3;Tsukanmuri;tan;one, single, simple, singular, individual;-;-
難;S3;18;3;Furutori;nan;trouble, difficulty;kata(i), muzuka(shii);impossible. hard, difficult
速;S3;10;3;Shinnyoo;soku;speedy, prompt, swift;haya(i), haya(meru), haya(maru), sumi(yaka);speedy, prompt, swift. hasten, precipitate, accelerate, expedite
嫌;S3;13;1;Onna, Onnahen;ken, [gen];dislike, hate;kira(u), iya;hate, detest, dislike
細;S3;11;2;Ito, Itohen;sai;get thin;hoso(i), hoso(ru), koma(ka), koma(kai);get thin
低;S3;7;2;Hito, Ninben, Hitoyane;tei;low;hiku(i), hiku(meru), hiku(maru);low, short
若;S3;8;3;Kusakanmuri;jaku, [nyaku];if;waka(i), mo(shikuwa);young, juvenile, youthful
深;S3;11;3;Mizu, Sanzui, Shitamizu;shin;deep;fuka(i), fuka(maru), fuka(meru);deep
浅;S3;9;2;Mizu, Sanzui, Shitamizu;sen;shallow;asa(i);shallow
太;S3;4;3;Dai;tai, ta;get fat, gain, fill out;futo(i), futo(ru);get fat, gain, fill out. big, thick, burly, fat
越;S3;12;3;Hashiru, Soonyoo;etsu;cross;ko(su), ko(eru);cross
壁;S3;16;1;Tsuchi, Tsuchihen;heki;wall;kabe;wall
床;S3;7;2;Madare;shoo;bed, floor;toko, yuka;bed
賃;S3;13;1;Kai, Kaihen;chin;hire, rent, wages, fare, freight, charge, fee;-;-
決;S3;7;3;Mizu, Sanzui, Shitamizu;ketsu;decision, vote;ki(meru), ki(maru);fix, decide, agree upon
選;S3;15;3;Shinnyoo;sen;selection, choice;era(bu);select, choose
調;S3;15;3;Gon, Gonben;choo;tune, tone, meter;shira(beru), totono(u), totono(eru);test, examine, investigate, survey, check up
連;S3;10;3;Shinnyoo;ren;ream;tsura(naru), tsura(neru), tsu(reru);range, be connected with, join
絡;S3;12;2;Ito, Itohen;raku;coil around, get twisted;kara(mu), kara(maru), kara(meru);coil around, get twisted
形;S3;7;3;Sanzukuri;kei, gyoo;shape;kata, katachi;shape, form, make, size, format, mark
予;S3;4;3;Haneboo;yo;I, myself, the writer;-;-
拾;S3;9;2;Tehen;shuu, juu;ten;hiro(u);pick up, gather
捨;S3;11;2;Tehen;sha;throw away, discard, abandon, desert, give up;su(teru);throw away, discard, abandon, desert, give up
域;S3;11;2;Tsuchi, Tsuchihen;iki;region;-;-
役;S3;7;3;Gyooninben;eki, yaku;war, campaign, battle, expedition;-;-
郵;S3;11;2;Oozato;yuu;stagecoach stop;-;-
局;S3;7;3;Shikabane;kyoku;bureau, board, office;-;-
身;S3;7;3;Mi;shin;body;mi;body
包;S3;5;2;Tsutsumigamae;hoo;wrap, pack up;tsutsu(mu);wrap, pack up
位;S3;7;3;Hito, Ninben, Hitoyane;i;rank, place, grade;kurai;grade, rank
置;S3;13;3;Amigashira;chi;place, put, set, deposit, lay;o(ku);place, put, set, deposit, lay
届;S3;8;2;Shikabane;-;-;todo(keru), todo(ku);reach, arrive, be received
更;S3;7;3;Hirabi;koo;a watch of the night;sara, fu(keru), fu(kasu);sit up late. get late
製;S3;14;1;Koromo, Koromohen;sei;make, manufacture;-;-
向;S3;6;3;Kuchi, Kuchihen;koo;face, confront;mu(ku), mu(keru), mu(kau), mu(koo);face, confront
危;S3;6;3;Fushizukuri, Warifu;ki;be afraid of, feel uneasy about, shrink from;abu(nai), aya(ui), aya(bumu);fear, have misgivings, be doubtful, mistrust
険;S3;11;3;Kozatohen;ken;inaccessible place, impregnable pass, strategic position;kewa(shii);steep
暮;S3;14;3;Nichi, Nichihen;bo;live, make a living;ku(reru), ku(rasu);live, make a living
震;S3;15;2;Ame, Amekanmuri;shin;shake, tremble, quiver, shiver, shudder;furu(u), furu(eru);shake, tremble, quiver, shiver, shudder
在;S3;6;3;Tsuchi, Tsuchihen;zai;outskirts, suburbs, country ;a(ru);there is, have, exist
特;S3;10;4;Ushi, Ushihen;toku;special;-;-
準;S3;13;2;Mizu, Sanzui, Shitamizu;jun;apply correspondingly, correspond to, be proportionate to, conform to ;-;-
備;S3;12;3;Hito, Ninben, Hitoyane;bi;be furnished with, be endowed with, possess;sona(eru), sona(waru);be furnished with, be endowed with, possess
説;S3;14;3;Gon, Gonben;setsu, [zei];opinion, view, assertion;to(ku);explain, expound, advocate, preach, teach, persuade
接;S3;11;2;Tehen;setsu;touch, contact;tsu(gu);join, piece together, splice, cement, set (broken bones)
配;S3;10;3;Tori, Torihen;hai;distribute;kuba(ru);distribute
答;S3;12;4;Take, Takekanmuri;too;answer;kota(eru), kota(e);answer
願;S3;19;3;Oogai;gan;prayer, petition, vow;nega(u);desire, wish, hope
授;S3;11;1;Tehen;ju;give, grant;sazu(keru), sazu(karu);grant, confer, award, invest (with authority)
業;S3;13;4;Ki, Kihen;gyoo, goo;vocation, occupation, business, trade, profession;waza;deed, act, work, art, trick, performance
想;S3;13;3;Kokoro, Risshinben, Shitagokoro;soo, [so];idea, conception, thought;-;-
直;S3;8;3;Me, Mehen;choku, jiki;honesty, frankness;tada(chini), nao(su), nao(ru);be mended
経;S3;11;3;Ito, Itohen;kei, kyoo;longitude;he(ru);pass, elapse
営;S3;12;2;Tsukanmuri;ei;camp, performing;itona(mu);perform (ceremoies)
済;S3;11;3;Mizu, Sanzui, Shitamizu;sai;end;su(mu), su(masu);end
歴;S3;14;2;Tomeru;reki;history;-;-
史;S3;5;2;Kuchi, Kuchihen;shi;history, chronicles;-;-
育;S3;8;3;Niku, Nikuzuki;iku;be raised, be brought up, grow, grow up;soda(tsu), soda(teru), haguku(mu);be raised, be brought up, grow, grow up
政;S3;9;3;Nobun;sei, [shoo];government, rule;matsurigoto;government, rule
法;S3;8;3;Mizu, Sanzui, Shitamizu;hoo, [haQ], [hoQ];law, rule, principle;-;-
王;S3;4;3;Tama, Oo;oo;king, rule, magnate, baron;-;-
感;S3;13;3;Kokoro, Risshinben, Shitagokoro;kan;feeling, sensation, sentiment;-;-
謝;S3;17;1;Gon, Gonben;sha;thank;ayama(ru);apologize
荷;S3;10;2;Kusakanmuri;ka;shoulder-pole load;ni;load, baggage, freight, cargo
紹;S3;11;2;Ito, Itohen;shoo;inherit, help;-;-
介;S3;4;2;Hito, Ninben, Hitoyane;kai;shell, shellfish;-;-
港;S3;12;3;Mizu, Sanzui, Shitamizu;koo;port, harbor;minato;port, harbor
結;S3;12;1;Ito, Itohen;ketsu;tie, bind;musu(bu), yu(u), yu(waeru);tie, bind
婚;S3;11;3;Onna, Onnahen;kon;marriage;-;-
式;S3;6;3;Shikigamae;shiki;ceremony, rite, function;-;-
独;S3;9;1;Inu, Kemonohen;doku;alone;hito(ri);alone, on one's own
誕;S3;15;1;Gon, Gonben;tan;be born;-;-
才;S3;3;3;Tehen;sai;ability, talent, aptitude, genius, acumen, intelligence, wit;-;-
満;S3;12;3;Mizu, Sanzui, Shitamizu;man;fullness, enough;mi(chiru), mi(tasu);be full
別;S3;7;4;Katana, Rittoo;betsu;divide, split, separate;waka(reru);branch off, diverge from, fork
快;S3;7;2;Kokoro, Risshinben, Shitagokoro;kai;pleasure, enjoyment;kokoroyo(i);pleasant, agreeable, comfortable, refreshing, delightful
適;S3;14;3;Shinnyoo;teki;suitable;-;-
実;S3;8;3;Ukanmuri;jitsu;truth, reality;mi, mino(ru);ripen
提;S3;12;1;Tehen;tei;take along, carry in the hand;sa(geru);take along, carry in the hand
健;S3;11;1;Hito, Ninben, Hitoyane;ken;health, strength;suko(yaka);vigorous, healthy, sound
康;S3;11;1;Madare;koo;peace;-;-
注;S3;8;4;Mizu, Sanzui, Shitamizu;chuu;notes, comment;soso(gu);pour into, pour on, irrigate, sprinkle
困;S3;7;3;Kunigamae;kon;be distressed be in trouble, be destitute, be embarrassed;koma(ru);be distressed be in trouble, be destitute, be embarrassed, be perplexed, be annoyed 
濯;S3;17;2;Mizu, Sanzui, Shitamizu;taku;wash, pour on, rinse;-;-
干;S3;3;2;Ichijuu;kan;parch, get dry;ho(su), hi(ru);parch, get dry
守;S3;6;3;Ukanmuri;shu, [su];defend, protect;mamo(ru), mo(ri);defend, protect
情;S3;11;3;Kokoro, Risshinben, Shitagokoro;joo, [sei];feeling, emotion;nasa(ke);sympathy, compassion
報;S3;12;3;Tsuchi, Tsuchihen;hoo;news, report;muku(iru);reward, compensate
探;S3;11;3;Tehen;tan;search, look for;sagu(ru), saga(su);search, look for
観;S3;18;3;Miru;kan;look, appearance;-;-
希;S3;7;2;Haba, Kinben;ki;Greece;-;-
望;S3;11;3;Tsuki, Tsukihen;boo, moo;full moon;nozo(mu);desire
告;S3;7;3;Kuchi, Kuchihen;koku;tell, inform, announce, proclaim;tsu(geru);tell, inform, announce, proclaim
詳;S3;13;1;Gon, Gonben;shoo;full, detailed, minute, accurate;kuwa(shii);full, detailed, minute, accurate
丸;S3;3;2;Ten;gan;full (month);maru, maru(i), maru(meru);full (month)
敬;S3;12;2;Nobun;kei;respect, honor, revere;uyama(u);respect, honor, revere, venerate
召;S3;5;2;Kuchi, Kuchihen;shoo;call, send for;me(su);call, send for
存;S3;6;3;Ko, Kohen;son, zon;know, be aware of, be acquainted with;-;-
案;S3;10;1;Ki, Kihen;an;proposition, suggestion, plan, idea;-;-
伺;S3;7;2;Hito, Ninben, Hitoyane;shi;visit;ukaga(u);visit
参;S3;8;3;Mu;san;three;mai(ru);go
議;S3;20;3;Gon, Gonben;gi;consultation, deliberation, debate;-;-
務;S3;11;3;Chikara;mu;serve, fill a post, serve under;tsuto(meru), tsuto(maru);serve, fill a post, serve under
戻;S3;7;3;To, Tokanmuri;rei;return, turn back;modo(ru), modo(su);return, turn back
任;S3;6;3;Hito, Ninben, Hitoyane;nin;duty, responsibility;maka(seru), maka(su);entrust to, leave to 
