kanji;niveau;traits;JLPT;radical;on;on translation;kun;kun_translation
易;S4;8;3;Nichi, Nichihen;i, eki;easiness;yasa(shii);easy, simple, light
倍;S4;10;2;Hito, Ninben, Hitoyane;bai;double, twice;-;-
率;S4;11;1;Gen;sotsu, ritsu;rate, percentage;hiki(iru);lead, spearhead (a group), command (troops)
均;S4;7;2;Tsuchi, Tsuchihen;kin;to level, to average;-;-
成;S4;6;3;Hokogamae, Hokozukuri;sei, [joo];become, get or grow (old), form (a part of);na(ru), na(su);become, get or grow (old), form (a part of)
績;S4;17;2;Ito, Itohen;seki;exploits, unreeling cocoons;-;-
評;S4;12;1;Gon, Gonben;hyoo;criticism, comment ;-;-
価;S4;8;1;Hito, Ninben, Hitoyane;ka;price, cost, value, worth;atai;price, cost, value, worth
移;S4;11;2;Nogi, Nogihen;i;move, change, shift, pass into, drift;utsu(ru), utsu(su);move, change, shift, pass into, drift
団;S4;6;2;Kunigamae;dan, [ton];body, group, corps, gang, party, company, troupe;-;-
程;S4;12;3;Nogi, Nogihen;tei;degree;hodo;limits, limit, extent, degree
欧;S4;8;2;Akubi;oo;Europe;-;-
船;S4;11;3;Fune, Funehen;sen;ship;fune, [funa];boat, ship, vessel, steamer, liner, barge
舟;S4;6;2;Fune, Funehen;shuu;boat;fune, [funa];boat, ship, vessel, steamer, liner, barge
加;S4;5;3;Chikara;ka;addition, increase;kuwa(eru), kuwa(waru);join in
装;S4;12;2;Koromo, Koromohen;soo, shoo;dress;yosoo(u);dress
靴;S4;13;3;Kakunokawa, Kawahen;ka;shoes;kutsu;shoes, boots
芸;S4;7;2;Kusakanmuri;gei;art, craft;-;-
劇;S4;15;2;Katana, Rittoo;geki;drama, play;-;-
演;S4;14;3;Mizu, Sanzui, Shitamizu;en;perform, play, act, enact, render, stage, put on;-;-
孫;S4;10;2;Ko, Kohen;son;descendants;mago;grandchild
抱;S4;8;3;Tehen;hoo;hug, embrace, hold in the arms;da(ku), ida(ku), kaka(eru);hug, embrace, hold in the arms
似;S4;7;3;Hito, Ninben, Hitoyane;ji;resemble;ni(ru);resemble
珍;S4;9;2;Tama, Oo;chin;rare, curious, strange;mezura(shii);new, novel, rare, strange, curious, unusual
仏;S4;4;2;Hito, Ninben, Hitoyane;butsu;Buddha, Buddhism;hotoke;Buddha
祈;S4;8;2;Shimesu, Shimesuhen;ki;pray;ino(ru);pray
